0,[(u'natural england', 0.00036675625187596316), (u'coastal access', 0.00035474810571852909), (u'coast path', 0.00019141900999822582), (u'england coast', 0.00018919598463527018), (u'england coast path', 0.0001872349163060617), (u'environment agency', 0.00017382571843738826), (u'secretary of state', 0.00015043772774709711), (u'stretch of coast', 0.00013510684524912424)]
1,[(u'effort use', 0.00022637597716979079), (u'organisation for ism', 0.00014519195661665419), (u'effort statistics', 0.00011905007020794726), (u'environment agency', 0.00011889122494040952), (u'european commission on the 15th day', 0.00011569263071485864), (u'statistics on effort', 0.00011569257012181937), (u'statistics on effort use', 0.00011569256679491305), (u'commission on the 15th day', 0.00011569251250529369)]
2,[(u'environment agency', 0.00021329263541289067), (u'regional flood', 0.00014728359125622381), (u'risk management', 0.00012254913283592028), (u'coastal committee', 0.00010833577521463326), (u'coastal risk management', 8.203021888501924e-05), (u'coastguard agency', 8.193200928259142e-05), (u'flood/NN', 8.1665572772300711e-05), (u'coastal risk', 8.1063447304396871e-05)]
3,[(u'environment agency', 0.00020710303507858117), (u'marine conservation', 0.00019251824454969826), (u'natural england', 0.00016764821328113069), (u'coast path', 0.00012604865531207771), (u'coastal access', 0.00012556792630442342), (u'f gas', 0.00011805427498358269), (u'england coast', 0.00011387880801168285), (u'rod licence', 0.00010733705631253068)]
