10,[(u'exemption/NN', 0.00015263718032417764), (u'waste/NN', 9.7626225069258779e-05), (u'environment sustainable development', 9.6165726789707449e-05), (u'environment sustainable', 9.5961594777158689e-05), (u'water situation', 9.1758914756698284e-05), (u'medway/NN', 9.1200170486620692e-05), (u'hospitality/NN', 8.103380606426607e-05), (u'waste exemption', 7.9839728398979647e-05)]
11,[(u'waste recycling environment', 7.7060266441470596e-05), (u'recycling environment', 7.546700360662589e-05), (u'waste recycling environment help improve', 4.0627768134408919e-05), (u'recycling environment help', 4.0627768134408919e-05), (u'waste recycling environment help', 4.0627768134408919e-05), (u'recycling environment help improve', 4.0627768134408919e-05), (u'recycling environment help improve gov', 4.0627768134408919e-05), (u'waste recycling environment publish', 4.0393731600632144e-05)]
12,[(u'rainfall river flow', 0.0002534571290588167), (u'rainfall river', 0.00025199477335941959), (u'low carbon', 5.9715029921180009e-05), (u'carbon/NN', 4.9127724210104469e-05), (u'rye/NN', 4.6628588889522312e-05), (u'waste generation', 3.8247667282755684e-05), (u'energy/NN', 3.8205521186639783e-05), (u'crc/JJ', 3.6011732668517271e-05)]
13,[(u'cm/NN', 3.9233021483519731e-05), (u'statistical digest', 3.5513582837566259e-05), (u'statistical digest rural', 3.375282136398934e-05), (u'digest rural', 3.375282136398934e-05), (u'disagree decision', 3.1892654225382289e-05), (u'command/NN', 3.0010582656037796e-05), (u'lesser/JJ', 2.8510405803287075e-05), (u'official statistic announcement', 2.3445141644600264e-05)]
14,[(u'financial statement', 7.4818924992892856e-05), (u'display type', 6.1258052648189548e-05), (u'cement/NN', 5.1187574154764696e-05), (u'palm oil', 4.6885050340818071e-05), (u'display/NN', 4.6532469952575682e-05), (u'newsletter/NN', 4.264204257842555e-05), (u'mcert/NN', 4.0777162683588212e-05), (u'agency close', 4.0044496867950028e-05)]
15,[(u'radioactive/JJ', 0.00020007349607688312), (u'nuclear/JJ', 0.00018359253549726613), (u'waste/NN', 0.00016577711894776799), (u'substance/NN', 0.00014415718688069284), (u'fishing/NN', 0.00013101818195796998), (u'environment agency local', 0.0001275216640459455), (u'authority visit', 0.00012696325519870642), (u'local authority visit', 0.00012696325519870642)]
16,[(u'application/NN', 0.0022841602515006436), (u'environmental permit application', 0.0012546657062476577), (u'permit application', 0.0012354556329453436), (u'permit application advertisement', 0.0010884706772939913), (u'environmental permit application advertisement', 0.0010884706772939913), (u'application advertisement', 0.0010880049882904552), (u'permit/NN', 0.0010547687433006816), (u'environmental permit', 0.00089851438447794275)]
17,[(u'umbrella/NN', 0.0002434609605653422), (u'adaptation/NN', 0.00014906899715599152), (u'climate/NN', 0.00013299806926014921), (u'climate change', 0.00010205569105922895), (u'help assistive technology river', 9.8370344351822374e-05), (u'technology river', 9.8370344351822374e-05), (u'tell help assistive technology river', 9.8370344351822374e-05), (u'assistive technology river', 9.8370344351822374e-05)]
18,[(u'restriction/NN', 0.00037608861791048277), (u'river restriction', 0.00029122433814417615), (u'restriction notice', 0.00026054502042769225), (u'river restriction notice', 0.00025477810652801324), (u'river thame', 0.00023368930454676227), (u'river/NN', 0.00022699470307399803), (u'regatta/NN', 0.00021243940679435111), (u'thame restriction', 0.00015771556681073586)]
19,[(u'waste/NN', 0.00035064967918458853), (u'waste recycling', 0.0001919166289121962), (u'recycling/NN', 0.00018238996144408144), (u'animal/JJ', 0.00017818465195393671), (u'assistive technology', 0.00016340960440835588), (u'assistive/JJ', 0.00016340960440835463), (u'technology/NN', 0.00015446642150650865), (u'health/NN', 0.0001525737656617402)]
20,[(u'river basin', 0.00015942291801437697), (u'ex/NN', 0.00015567778813947716), (u'basin/NN', 0.00015169791344140347), (u'ta/NN', 0.00014291239159213467), (u'ref lit', 0.00014191280390444972), (u'lit mb file suitable', 0.00014128208270223886), (u'lit mb file', 0.00014128208270223886), (u'lit mb file suitable user', 0.00014128208270223886)]
21,[(u'al/NN', 6.1529988040065589e-05), (u'microplastic/NN', 5.5234548822378948e-05), (u'cover period', 5.126312742109703e-05), (u'environment agency water sewerage service', 5.1191679900504981e-05), (u'agency water sewerage service', 5.1191679900504981e-05), (u'agency water sewerage', 5.1093200477059128e-05), (u'environment agency water sewerage', 5.1093200477059128e-05), (u'period publish', 4.7723053267088864e-05)]
22,[(u'current scheme', 4.9034403557560645e-05), (u'agency food', 3.6697049191071834e-05), (u'sw/NN', 3.2967502958739989e-05), (u'senior/JJ_official/NN', 3.0666225753573808e-05), (u'senior official', 3.0511041670163515e-05), (u'risk reduction strategy', 2.5466501553128629e-05), (u'reduction strategy', 2.5232061843454655e-05), (u'fsa/NN', 2.2676451213155063e-05)]
23,[(u'main river', 0.0001493340041510443), (u'help assistive technology environment', 0.00014363120675200765), (u'tell help assistive technology environment', 0.00014363120675200765), (u'assistive technology environment', 0.00014363120675200765), (u'help assistive technology environment agency', 0.0001433203178372077), (u'assistive technology environment agency', 0.0001433203178372077), (u'technology environment agency', 0.00014322555035766409), (u'river map', 0.00013497488600430004)]
24,[(u'bovine/JJ', 0.00019393175225833814), (u'tb/NN', 0.00018185986690183922), (u'bovine tb', 0.00013882363251004393), (u'withdraw environmental', 6.9363607415202886e-05), (u'reservoir/NN', 6.5428930655824253e-05), (u'badger/NN', 6.3368091883274474e-05), (u'technology review', 5.9757039953757002e-05), (u'assistive technology review', 5.9583430703058588e-05)]
