source,target,value
0,0,114
0,1,319
0,2,76
0,3,344
0,4,97
0,5,429
0,6,97
0,7,82
0,8,97
0,9,187
1,0,51
1,1,272
1,2,93
1,3,200
1,4,159
1,5,168
1,6,86
1,7,54
1,8,186
1,9,214
2,0,87
2,1,140
2,2,45
2,3,69
2,4,47
2,5,130
2,6,70
2,7,102
2,8,34
2,9,440
3,0,185
3,1,411
3,2,118
3,3,247
3,4,451
3,5,209
3,6,397
3,7,514
3,8,111
3,9,132
4,0,359
4,1,1303
4,2,1044
4,3,465
4,4,1884
4,5,669
4,6,707
4,7,1142
4,8,2436
4,9,1525
