0,[(u'environment agency', 0.00012643853513973866), (u'number of cattle', 0.00010870928589072913), (u'sustainable procurement', 9.791401896099766e-05), (u'welsh language', 8.3204991825606248e-05), (u'water situation', 7.7781821388428268e-05), (u'statistics on the number of cattle', 7.5058943819824485e-05), (u'statistics on the number', 7.0511098089559725e-05), (u'government buying', 6.727796831376542e-05)]
1,[(u'environment agency', 0.00016632784650794251), (u'flood risk', 0.00011619786582710314), (u'black sluice', 7.3082166603654012e-05), (u'flood defence', 7.0020081254218628e-05), (u'national statistics', 5.8253934504768009e-05), (u'sea trout', 5.6296543413775395e-05), (u'counts for salmon', 5.2733786303773799e-05), (u'internal drainage', 5.1257315675334018e-05)]
2,[(u'nitrogen dioxide', 0.00047830463095617281), (u'procurement card', 0.000371606913777564), (u'government procurement card', 0.00037158521199875765), (u'air quality', 0.00035620169722743947), (u'department of energy', 0.00029433001642002374), (u'government procurement', 0.00027934958852270813), (u'climate change', 0.00025407968227708622), (u'nitrogen dioxide emissions', 0.0002502027020836121)]
3,[(u'food industries.', 9.1709895772810161e-05), (u'food brief', 9.1709790214966771e-05), (u'brief department', 8.8803117003160751e-05), (u'food brief department', 8.8803078032315103e-05), (u'food brief department for environment', 8.8803006601950428e-05), (u'brief department for environment', 8.8802374909077261e-05), (u'latest key information', 8.6610993181798508e-05), (u'statistical evidence', 8.661068367331635e-05)]
