/guidance/salmonella-get-your-egg-laying-hens-tested,[(2, 0.93234513632196225), (1, 0.033745901726473515)]
/guidance/animal-by-products-that-can-be-spread-on-land-without-processing,[(3, 0.66655265920589934), (9, 0.13578206889740707), (1, 0.13011337207649801)]
/government/statistics/sheep-and-goats-scrapie-disease-surveillance,[(6, 0.83674982366802075), (1, 0.078435690506059252), (8, 0.01061610085749805)]
/government/statistics/great-britain-poultry-register-statistics,[(3, 0.77509880013249688), (8, 0.10934999653459093), (1, 0.014451538990338247)]
/government/publications/application-for-veterinary-examination-of-horses-over-147cms-14-2-hands-in-height-including-foals-at-the-foot-of-their-dams,[(5, 0.73676901491139168), (1, 0.12653958714653191), (8, 0.051799298499826472)]
/government/publications/avian-wildlife-casualty-veterinary-examination-certificate,[(2, 0.67388715189675452), (1, 0.18901036700137186), (3, 0.017156246612009488)]
/government/statistics/cross-compliance-2013-inspection-results,[(6, 0.7968611505793971), (5, 0.077457956303719461), (8, 0.040728443302612403)]
/government/publications/monitoring-the-humaneness-and-effectiveness-of-badger-culling-in-2014,[(2, 0.42736034428427211), (3, 0.25454599430938424), (1, 0.1803135467291703)]
/government/publications/foot-and-mouth-disease-in-algeria-and-tunisia,[(1, 0.66775119375323988), (0, 0.20822521617587125), (3, 0.015503619786558212)]
/government/publications/bluetongue-in-greece-and-bulgaria,[(0, 0.84151147463321163), (4, 0.046316979161541143), (1, 0.014028176828572393)]
/government/publications/vesicular-stomatitis-in-horses-and-cattle-in-the-usa,[(0, 0.8740035967037445), (7, 0.014227311848920799), (1, 0.014164578928225037)]
/government/publications/swine-fever-in-domestic-pigs-and-wild-boar-in-latvia,[(0, 0.81493508272588477), (4, 0.083050911534558028), (1, 0.012754469065572895)]
/government/publications/bluetongue-in-greece-and-the-european-situation,[(0, 0.85701981926642745), (8, 0.029138042327897656), (7, 0.014340335083794543)]
/government/publications/pest-de-petits-ruminants-in-china,[(0, 0.88684789113616713), (8, 0.012604689784639828), (1, 0.012576089973400616)]
/government/publications/foot-and-mouth-disease-in-tunisia,[(1, 0.68493462833528396), (0, 0.19506143235250936), (3, 0.0150010941323773)]
/government/publications/avian-influenza-in-poultry-and-humans-in-china,[(0, 0.79156232302605944), (3, 0.092796360021791396), (8, 0.014511332036535401)]
/government/publications/qualitative-risk-assessment-sheep-pox-virus-and-lumpy-skin-disease-virus,[(1, 0.89955639495535689), (0, 0.011225726430471343), (8, 0.011193436542296221)]
/government/news/animal-and-plant-health-agency-launched,[(1, 0.79602117531608951), (8, 0.11668049171759208), (6, 0.010913751418688356)]
